2023-06-20 18:40:39,678 Дата списання: 2023-06-20 18:40:39.678251, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146336.0766666666666666666667
2023-06-20 18:42:20,119 Дата списання: 2023-06-20 18:42:20.119068, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146282.7766666666666666666667
2023-06-20 18:42:20,127 Дата списання: 2023-06-20 18:42:20.127064, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:42:20,142 Дата списання: 2023-06-20 18:42:20.142066, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 1027.746666666666666666666667
2023-06-20 18:42:30,160 Дата списання: 2023-06-20 18:42:30.160848, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146277.4466666666666666666667
2023-06-20 18:42:30,169 Дата списання: 2023-06-20 18:42:30.169012, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:42:30,183 Дата списання: 2023-06-20 18:42:30.183322, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 1024.416666666666666666666667
2023-06-20 18:42:40,201 Дата списання: 2023-06-20 18:42:40.201037, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146272.1166666666666666666667
2023-06-20 18:42:40,207 Дата списання: 2023-06-20 18:42:40.207829, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:42:40,222 Дата списання: 2023-06-20 18:42:40.222256, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 1021.086666666666666666666667
2023-06-20 18:42:50,237 Дата списання: 2023-06-20 18:42:50.237248, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146266.7866666666666666666667
2023-06-20 18:42:50,245 Дата списання: 2023-06-20 18:42:50.245249, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:42:50,259 Дата списання: 2023-06-20 18:42:50.259038, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 1017.756666666666666666666667
2023-06-20 18:43:03,153 Дата списання: 2023-06-20 18:43:03.153086, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146261.4566666666666666666667
2023-06-20 18:43:03,161 Дата списання: 2023-06-20 18:43:03.161683, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:43:03,180 Дата списання: 2023-06-20 18:43:03.180679, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 1014.426666666666666666666667
2023-06-20 18:43:13,199 Дата списання: 2023-06-20 18:43:13.199579, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146256.1266666666666666666667
2023-06-20 18:43:13,206 Дата списання: 2023-06-20 18:43:13.206568, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:43:13,220 Дата списання: 2023-06-20 18:43:13.220568, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 1011.096666666666666666666667
2023-06-20 18:43:23,239 Дата списання: 2023-06-20 18:43:23.239878, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146250.7966666666666666666667
2023-06-20 18:43:23,247 Дата списання: 2023-06-20 18:43:23.247874, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:43:23,261 Дата списання: 2023-06-20 18:43:23.261878, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 1007.766666666666666666666667
2023-06-20 18:43:33,279 Дата списання: 2023-06-20 18:43:33.279743, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146245.4666666666666666666667
2023-06-20 18:43:33,286 Дата списання: 2023-06-20 18:43:33.286748, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:43:33,300 Дата списання: 2023-06-20 18:43:33.300842, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 1004.436666666666666666666667
2023-06-20 18:43:43,324 Дата списання: 2023-06-20 18:43:43.323824, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146240.1366666666666666666667
2023-06-20 18:43:43,332 Дата списання: 2023-06-20 18:43:43.332205, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:43:43,346 Дата списання: 2023-06-20 18:43:43.346310, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 1001.106666666666666666666667
2023-06-20 18:43:53,382 Дата списання: 2023-06-20 18:43:53.382466, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146234.8066666666666666666667
2023-06-20 18:43:53,392 Дата списання: 2023-06-20 18:43:53.392468, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:43:53,407 Дата списання: 2023-06-20 18:43:53.407469, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 997.7766666666666666666666667
2023-06-20 18:44:03,424 Дата списання: 2023-06-20 18:44:03.424760, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146229.4766666666666666666667
2023-06-20 18:44:03,434 Дата списання: 2023-06-20 18:44:03.434762, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:44:03,448 Дата списання: 2023-06-20 18:44:03.448797, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 994.4466666666666666666666667
2023-06-20 18:44:13,465 Дата списання: 2023-06-20 18:44:13.465534, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146224.1466666666666666666667
2023-06-20 18:44:13,473 Дата списання: 2023-06-20 18:44:13.473092, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:44:13,488 Дата списання: 2023-06-20 18:44:13.488572, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 991.1166666666666666666666667
2023-06-20 18:44:23,504 Дата списання: 2023-06-20 18:44:23.504675, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146218.8166666666666666666667
2023-06-20 18:44:23,512 Дата списання: 2023-06-20 18:44:23.512692, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:44:23,531 Дата списання: 2023-06-20 18:44:23.531721, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 987.7866666666666666666666667
2023-06-20 18:44:33,550 Дата списання: 2023-06-20 18:44:33.550325, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146213.4866666666666666666667
2023-06-20 18:44:33,558 Дата списання: 2023-06-20 18:44:33.558221, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:44:33,574 Дата списання: 2023-06-20 18:44:33.574386, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 984.4566666666666666666666667
2023-06-20 18:44:43,591 Дата списання: 2023-06-20 18:44:43.591762, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146208.1566666666666666666667
2023-06-20 18:44:43,600 Дата списання: 2023-06-20 18:44:43.600760, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:44:43,619 Дата списання: 2023-06-20 18:44:43.619377, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 981.1266666666666666666666667
2023-06-20 18:44:53,638 Дата списання: 2023-06-20 18:44:53.638321, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146202.8266666666666666666667
2023-06-20 18:44:53,644 Дата списання: 2023-06-20 18:44:53.644351, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:44:53,658 Дата списання: 2023-06-20 18:44:53.658411, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 977.7966666666666666666666667
2023-06-20 18:45:03,676 Дата списання: 2023-06-20 18:45:03.676425, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146197.4966666666666666666667
2023-06-20 18:45:03,684 Дата списання: 2023-06-20 18:45:03.684355, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:45:03,698 Дата списання: 2023-06-20 18:45:03.698364, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 974.4666666666666666666666667
2023-06-20 18:45:13,715 Дата списання: 2023-06-20 18:45:13.715220, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146192.1666666666666666666667
2023-06-20 18:45:13,721 Дата списання: 2023-06-20 18:45:13.721246, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:45:13,742 Дата списання: 2023-06-20 18:45:13.742753, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 971.1366666666666666666666667
2023-06-20 18:45:23,759 Дата списання: 2023-06-20 18:45:23.759647, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146186.8366666666666666666667
2023-06-20 18:45:23,768 Дата списання: 2023-06-20 18:45:23.768415, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:45:23,784 Дата списання: 2023-06-20 18:45:23.784413, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 967.8066666666666666666666667
2023-06-20 18:45:33,800 Дата списання: 2023-06-20 18:45:33.800013, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146181.5066666666666666666667
2023-06-20 18:45:33,806 Дата списання: 2023-06-20 18:45:33.806984, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:45:33,820 Дата списання: 2023-06-20 18:45:33.820310, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 964.4766666666666666666666667
2023-06-20 18:45:43,838 Дата списання: 2023-06-20 18:45:43.838056, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146176.1766666666666666666667
2023-06-20 18:45:43,846 Дата списання: 2023-06-20 18:45:43.846445, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:45:43,860 Дата списання: 2023-06-20 18:45:43.860450, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 961.1466666666666666666666667
2023-06-20 18:45:53,879 Дата списання: 2023-06-20 18:45:53.879058, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146170.8466666666666666666667
2023-06-20 18:45:53,886 Дата списання: 2023-06-20 18:45:53.886076, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:45:53,901 Дата списання: 2023-06-20 18:45:53.901075, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 957.8166666666666666666666667
2023-06-20 18:46:03,919 Дата списання: 2023-06-20 18:46:03.919639, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146165.5166666666666666666667
2023-06-20 18:46:03,926 Дата списання: 2023-06-20 18:46:03.926637, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:46:03,943 Дата списання: 2023-06-20 18:46:03.943851, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 954.4866666666666666666666667
2023-06-20 18:46:13,961 Дата списання: 2023-06-20 18:46:13.961966, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146160.1866666666666666666667
2023-06-20 18:46:13,971 Дата списання: 2023-06-20 18:46:13.971096, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:46:13,985 Дата списання: 2023-06-20 18:46:13.985481, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 951.1566666666666666666666667
2023-06-20 18:46:24,002 Дата списання: 2023-06-20 18:46:24.002058, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146154.8566666666666666666667
2023-06-20 18:46:24,010 Дата списання: 2023-06-20 18:46:24.010359, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:46:24,025 Дата списання: 2023-06-20 18:46:24.025427, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 947.8266666666666666666666667
2023-06-20 18:46:34,043 Дата списання: 2023-06-20 18:46:34.043147, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146149.5266666666666666666667
2023-06-20 18:46:34,051 Дата списання: 2023-06-20 18:46:34.051145, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:46:34,066 Дата списання: 2023-06-20 18:46:34.066142, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 944.4966666666666666666666667
2023-06-20 18:46:44,083 Дата списання: 2023-06-20 18:46:44.083266, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146144.1966666666666666666667
2023-06-20 18:46:44,091 Дата списання: 2023-06-20 18:46:44.091280, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:46:44,105 Дата списання: 2023-06-20 18:46:44.105282, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 941.1666666666666666666666667
2023-06-20 18:46:54,125 Дата списання: 2023-06-20 18:46:54.125452, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146138.8666666666666666666667
2023-06-20 18:46:54,134 Дата списання: 2023-06-20 18:46:54.134489, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:46:54,149 Дата списання: 2023-06-20 18:46:54.149625, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 937.8366666666666666666666667
2023-06-20 18:47:04,168 Дата списання: 2023-06-20 18:47:04.168563, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146133.5366666666666666666667
2023-06-20 18:47:04,176 Дата списання: 2023-06-20 18:47:04.176561, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:47:04,191 Дата списання: 2023-06-20 18:47:04.191828, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 934.5066666666666666666666667
2023-06-20 18:47:14,212 Дата списання: 2023-06-20 18:47:14.212376, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146128.2066666666666666666667
2023-06-20 18:47:14,220 Дата списання: 2023-06-20 18:47:14.220385, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:47:14,233 Дата списання: 2023-06-20 18:47:14.233377, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 931.1766666666666666666666667
2023-06-20 18:47:24,256 Дата списання: 2023-06-20 18:47:24.256530, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146122.8766666666666666666667
2023-06-20 18:47:24,264 Дата списання: 2023-06-20 18:47:24.264633, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:47:24,287 Дата списання: 2023-06-20 18:47:24.286995, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 927.8466666666666666666666667
2023-06-20 18:47:34,308 Дата списання: 2023-06-20 18:47:34.308394, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146117.5466666666666666666667
2023-06-20 18:47:34,315 Дата списання: 2023-06-20 18:47:34.315823, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:47:34,331 Дата списання: 2023-06-20 18:47:34.331601, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 924.5166666666666666666666667
2023-06-20 18:47:44,347 Дата списання: 2023-06-20 18:47:44.347860, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146112.2166666666666666666667
2023-06-20 18:47:44,355 Дата списання: 2023-06-20 18:47:44.355316, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:47:44,370 Дата списання: 2023-06-20 18:47:44.370475, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 921.1866666666666666666666667
2023-06-20 18:47:54,387 Дата списання: 2023-06-20 18:47:54.387133, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146106.8866666666666666666667
2023-06-20 18:47:54,394 Дата списання: 2023-06-20 18:47:54.394161, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:47:54,409 Дата списання: 2023-06-20 18:47:54.408428, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 917.8566666666666666666666667
2023-06-20 18:48:04,429 Дата списання: 2023-06-20 18:48:04.429656, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146101.5566666666666666666667
2023-06-20 18:48:04,438 Дата списання: 2023-06-20 18:48:04.438654, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:48:04,452 Дата списання: 2023-06-20 18:48:04.452460, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 914.5266666666666666666666667
2023-06-20 18:48:14,469 Дата списання: 2023-06-20 18:48:14.469761, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146096.2266666666666666666667
2023-06-20 18:48:14,476 Дата списання: 2023-06-20 18:48:14.476806, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:48:14,491 Дата списання: 2023-06-20 18:48:14.491730, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 911.1966666666666666666666667
2023-06-20 18:48:24,509 Дата списання: 2023-06-20 18:48:24.509461, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146090.8966666666666666666667
2023-06-20 18:48:24,517 Дата списання: 2023-06-20 18:48:24.517451, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:48:24,532 Дата списання: 2023-06-20 18:48:24.532456, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 907.8666666666666666666666667
2023-06-20 18:48:34,552 Дата списання: 2023-06-20 18:48:34.552152, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146085.5666666666666666666667
2023-06-20 18:48:34,559 Дата списання: 2023-06-20 18:48:34.559654, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:48:34,574 Дата списання: 2023-06-20 18:48:34.574283, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 904.5366666666666666666666667
2023-06-20 18:48:44,594 Дата списання: 2023-06-20 18:48:44.594271, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146080.2366666666666666666667
2023-06-20 18:48:44,601 Дата списання: 2023-06-20 18:48:44.601481, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:48:44,615 Дата списання: 2023-06-20 18:48:44.615124, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 901.2066666666666666666666667
